EmployeeId,ReviewDate,PerformanceRating
1001,2015-12-14,3
1001,2016-12-13,3
1001,2017-12-13,3
1001,2018-12-13,3
1001,2019-12-13,3
1002,2018-10-10,3
1002,2019-10-10,4
1003,2015-07-23,2
1003,2016-07-22,3
1003,2017-07-24,4
1003,2018-07-24,3
1004,2015-05-08,4
1004,2016-05-09,5
1004,2017-05-09,3
1004,2018-05-09,3
1004,2019-05-09,3
1005,2014-12-24,2
1005,2015-12-24,4
1005,2016-12-23,3
1005,2017-12-25,3
1005,2018-12-25,3
1005,2019-12-25,3
1006,2016-03-16,3
1006,2017-03-16,5
1006,2018-03-16,4
1006,2019-03-18,4
1007,2012-11-26,4
1007,2013-11-26,5
1007,2014-11-26,2
1007,2015-11-26,4
1007,2016-11-25,3
1007,2017-11-27,3
1007,2018-11-27,4
1007,2019-11-27,2
1008,2014-10-03,3
1008,2015-10-05,3
1008,2016-10-04,3
1008,2017-10-04,4
1008,2018-10-04,4
1010,2016-06-17,2
1010,2017-06-19,2
1010,2018-06-19,3
1010,2019-06-19,3
1011,2016-08-15,3
1011,2017-08-15,3
1011,2018-08-15,4
1011,2019-08-15,4
1012,2015-11-26,4
1012,2016-11-25,3
1012,2017-11-27,2
1012,2018-11-27,4
1013,2014-12-08,4
1013,2015-12-08,4
1013,2016-12-07,3
1013,2017-12-07,2
1013,2018-12-07,2
1013,2019-12-09,2
1014,2018-07-30,5
1014,2019-07-30,5
1015,2019-11-08,2
1016,2017-08-08,4
1016,2018-08-08,3
1016,2019-08-08,3
1018,1992-09-25,3
1018,1993-09-27,2
1018,1994-09-27,3
1018,1995-09-27,4
1018,1996-09-26,3
1018,1997-09-26,4
1018,1998-09-28,4
1018,1999-09-28,3
1018,2000-09-27,4
1018,2001-09-27,3
1018,2002-09-27,4
1018,2003-09-29,4
1018,2004-09-28,5
1018,2005-09-28,3
1018,2006-09-28,4
1018,2007-09-28,3
1018,2008-09-29,4
1018,2009-09-29,4
1018,2010-09-29,4
1018,2011-09-29,3
1018,2012-09-28,3
1018,2013-09-30,5
1018,2014-09-30,4
1018,2015-09-30,3
1018,2016-09-29,2
1018,2017-09-29,3
1018,2018-10-01,4
1020,2016-01-18,4
1020,2017-01-17,4
1020,2018-01-17,4
1020,2019-01-17,3
1022,2003-02-10,3
1022,2004-02-10,2
1022,2005-02-09,1
1022,2006-02-09,4
1022,2007-02-09,4
1022,2008-02-11,4
1022,2009-02-10,2
1022,2010-02-10,4
1022,2011-02-10,3
1022,2012-02-10,3
1022,2013-02-11,4
1022,2014-02-11,2
1022,2015-02-11,3
1022,2016-02-11,3
1022,2017-02-10,3
1022,2018-02-12,3
1023,2018-12-21,3
1023,2019-12-23,3
1024,2013-03-11,4
1024,2014-03-11,4
1024,2015-03-11,4
1024,2016-03-10,3
1024,2017-03-10,3
1024,2018-03-12,4
1024,2019-03-12,3
1025,2017-02-03,3
1025,2018-02-05,3
1025,2019-02-05,4
1026,2011-08-31,3
1026,2012-08-30,5
1026,2013-08-30,4
1026,2014-09-01,2
1026,2015-09-01,3
1026,2016-08-31,3
1026,2017-08-31,2
1026,2018-08-31,3
1026,2019-09-02,3
1027,2013-01-16,3
1027,2014-01-16,4
1027,2015-01-16,2
1027,2016-01-18,4
1027,2017-01-17,2
1027,2018-01-17,3
1027,2019-01-17,3
1028,2017-09-25,4
1028,2018-09-25,4
1028,2019-09-25,3
1030,2014-05-15,4
1030,2015-05-15,5
1030,2016-05-16,3
1030,2017-05-16,4
1030,2018-05-16,2
1030,2019-05-16,4
1031,2018-10-29,3
1031,2019-10-29,3
1033,1992-06-22,3
1033,1993-06-22,4
1033,1994-06-22,5
1033,1995-06-22,2
1033,1996-06-21,4
1033,1997-06-23,2
1033,1998-06-23,3
1033,1999-06-23,3
1033,2000-06-22,4
1033,2001-06-22,4
1033,2002-06-24,2
1033,2003-06-24,3
1033,2004-06-23,4
1033,2005-06-23,4
1033,2006-06-23,4
1033,2007-06-25,4
1033,2008-06-24,4
1033,2009-06-24,4
1033,2010-06-24,4
1033,2011-06-24,4
1033,2012-06-25,2
1033,2013-06-25,4
1033,2014-06-25,4
1033,2015-06-25,2
1033,2016-06-24,4
1033,2017-06-26,3
1033,2018-06-26,3
1034,2019-01-28,3
1035,2015-07-27,1
1035,2016-07-26,2
1035,2017-07-26,3
1035,2018-07-26,4
1035,2019-07-26,2
1036,2017-04-24,3
1036,2018-04-24,4
1036,2019-04-24,2
1037,2015-01-22,2
1037,2016-01-22,4
1037,2017-01-23,4
1037,2018-01-23,4
1037,2019-01-23,3
1038,2019-08-07,4
1039,2010-09-01,3
1039,2011-09-01,2
1039,2012-08-31,3
1039,2013-09-02,5
1039,2014-09-02,3
1039,2015-09-02,4
1039,2016-09-01,2
1039,2017-09-01,1
1039,2018-09-03,4
1040,2014-12-29,5
1040,2015-12-29,4
1040,2016-12-28,5
1040,2017-12-28,4
1040,2018-12-28,3
1040,2019-12-30,3
1041,2013-11-01,2
1041,2014-11-03,4
1041,2015-11-03,3
1041,2016-11-02,2
1041,2017-11-02,3
1041,2018-11-02,3
1041,2019-11-04,2
1042,2019-02-07,4
1043,2018-06-04,4
1043,2019-06-04,3
1044,2010-11-17,3
1044,2011-11-17,2
1044,2012-11-16,3
1044,2013-11-18,3
1044,2014-11-18,4
1044,2015-11-18,4
1044,2016-11-17,3
1044,2017-11-17,2
1044,2018-11-19,4
1045,2011-05-30,2
1045,2012-05-29,4
1045,2013-05-29,4
1045,2014-05-29,3
1045,2015-05-29,4
1045,2016-05-30,4
1045,2017-05-30,3
1045,2018-05-30,4
1045,2019-05-30,3
1047,2019-04-23,3
1048,2017-10-16,3
1048,2018-10-16,3
1048,2019-10-16,4
1049,2017-12-04,4
1049,2018-12-04,4
1050,2017-01-03,2
1050,2018-01-03,3
1050,2019-01-03,4
1051,2008-07-17,2
1051,2009-07-17,3
1051,2010-07-19,3
1051,2011-07-19,4
1051,2012-07-18,3
1051,2013-07-18,4
1051,2014-07-18,4
1051,2015-07-20,4
1051,2016-07-19,4
1051,2017-07-19,4
1051,2018-07-19,4
1051,2019-07-19,4
1053,2005-02-03,3
1053,2006-02-03,3
1053,2007-02-05,4
1053,2008-02-05,2
1053,2009-02-04,4
1053,2010-02-04,2
1053,2011-02-04,2
1053,2012-02-06,2
1053,2013-02-05,3
1053,2014-02-05,4
1053,2015-02-05,3
1053,2016-02-05,5
1053,2017-02-06,3
1053,2018-02-06,3
1053,2019-02-06,4
1054,2017-08-29,3
1054,2018-08-29,3
1054,2019-08-29,4
1055,2016-10-31,3
1055,2017-10-31,3
1055,2018-10-31,2
1055,2019-10-31,3
1056,2019-09-30,3
1057,2017-01-30,3
1057,2018-01-30,2
1057,2019-01-30,4
1058,2015-09-18,4
1058,2016-09-19,4
1058,2017-09-19,4
1058,2018-09-19,4
1058,2019-09-19,3
1059,2012-04-12,4
1059,2013-04-12,4
1059,2014-04-14,3
1059,2015-04-14,3
1059,2016-04-13,3
1059,2017-04-13,1
1059,2018-04-13,3
1059,2019-04-15,4
1060,2013-02-25,4
1060,2014-02-25,3
1060,2015-02-25,2
1060,2016-02-25,3
1060,2017-02-24,3
1060,2018-02-26,3
1060,2019-02-26,4
1061,2014-10-27,4
1061,2015-10-27,4
1061,2016-10-26,2
1061,2017-10-26,3
1061,2018-10-26,3
1063,2018-09-27,3
1064,2013-12-11,3
1064,2014-12-11,4
1064,2015-12-11,4
1064,2016-12-12,3
1064,2017-12-12,4
1064,2018-12-12,5
1064,2019-12-12,3
1066,2011-03-21,3
1066,2012-03-20,4
1066,2013-03-20,4
1066,2014-03-20,2
1066,2015-03-20,3
1066,2016-03-21,4
1066,2017-03-21,2
1066,2018-03-21,2
1066,2019-03-21,4
1067,2016-12-16,3
1067,2017-12-18,4
1067,2018-12-18,3
1068,2019-04-01,3
1070,2018-06-04,3
1070,2019-06-04,4
1071,2018-10-09,3
1071,2019-10-09,3
1073,2017-11-23,3
1073,2018-11-23,4
1073,2019-11-25,3
1074,2019-04-26,4
1075,2016-03-02,3
1075,2017-03-02,3
1075,2018-03-02,2
1075,2019-03-04,4
1076,2017-02-17,3
1076,2018-02-19,3
1076,2019-02-19,2
1077,2019-07-05,3
1079,2010-11-01,3
1079,2011-11-01,5
1079,2012-10-31,4
1079,2013-10-31,3
1079,2014-10-31,4
1079,2015-11-02,3
1079,2016-11-01,3
1079,2017-11-01,3
1079,2018-11-01,2
1079,2019-11-01,4
1080,2018-09-20,3
1080,2019-09-20,3
1082,2010-12-17,5
1082,2011-12-19,4
1082,2012-12-18,4
1082,2013-12-18,3
1082,2014-12-18,2
1082,2015-12-18,4
1082,2016-12-19,3
1082,2017-12-19,3
1082,2018-12-19,3
1082,2019-12-19,4
1084,2018-07-09,3
1084,2019-07-09,4
1085,2018-12-24,3
1086,2007-06-14,4
1086,2008-06-13,2
1086,2009-06-15,4
1086,2010-06-15,2
1086,2011-06-15,4
1086,2012-06-14,4
1086,2013-06-14,3
1086,2014-06-16,3
1086,2015-06-16,3
1086,2016-06-15,4
1086,2017-06-15,3
1086,2018-06-15,1
1087,2016-05-04,3
1087,2017-05-04,4
1087,2018-05-04,5
1087,2019-05-06,3
1088,2016-07-28,3
1088,2017-07-28,3
1088,2018-07-30,3
1088,2019-07-30,3
1089,2017-06-02,3
1089,2018-06-04,3
1089,2019-06-04,2
1090,2019-07-22,4
1091,2009-10-16,5
1091,2010-10-18,2
1091,2011-10-18,4
1091,2012-10-17,4
1091,2013-10-17,4
1091,2014-10-17,4
1091,2015-10-19,2
1091,2016-10-18,3
1091,2017-10-18,2
1091,2018-10-18,2
1091,2019-10-18,4
1092,2017-11-21,3
1092,2018-11-21,3
1093,2016-06-06,3
1093,2017-06-06,5
1093,2018-06-06,2
1093,2019-06-06,3
1094,2012-10-03,3
1094,2013-10-03,4
1094,2014-10-03,3
1094,2015-10-05,5
1094,2016-10-04,3
1094,2017-10-04,4
1094,2018-10-04,3
1094,2019-10-04,4
1095,2017-06-20,3
1095,2018-06-20,4
1095,2019-06-20,3
1096,2012-04-27,4
1096,2013-04-29,2
1096,2014-04-29,4
1096,2015-04-29,4
1096,2016-04-28,3
1096,2017-04-28,3
1096,2018-04-30,4
1096,2019-04-30,3
1098,2015-11-06,4
1098,2016-11-07,3
1098,2017-11-07,3
1098,2018-11-07,4
1098,2019-11-07,3
1099,2018-11-07,3
1101,2018-08-13,4
1101,2019-08-13,3
1102,2017-11-15,3
1102,2018-11-15,5
1102,2019-11-15,4
1105,2004-02-27,3
1105,2005-02-28,3
1105,2006-02-28,2
1105,2007-02-28,3
1105,2008-02-28,3
1105,2009-02-27,3
1105,2010-03-01,4
1105,2011-03-01,3
1105,2012-02-29,3
1105,2013-02-28,1
1105,2014-02-28,3
1105,2015-03-02,4
1105,2016-03-01,3
1105,2017-03-01,3
1105,2018-03-01,4
1105,2019-03-01,4
1108,2012-09-06,4
1108,2013-09-06,2
1108,2014-09-08,3
1108,2015-09-08,4
1108,2016-09-07,2
1108,2017-09-07,4
1108,2018-09-07,3
1108,2019-09-09,4
1109,2013-09-25,5
1109,2014-09-25,4
1109,2015-09-25,3
1109,2016-09-26,3
1109,2017-09-26,4
1109,2018-09-26,4
1109,2019-09-26,2
1110,2018-08-27,3
1110,2019-08-27,3
1111,2009-12-18,3
1111,2010-12-20,2
1111,2011-12-20,3
1111,2012-12-19,3
1111,2013-12-19,2
1111,2014-12-19,5
1111,2015-12-21,4
1111,2016-12-20,2
1111,2017-12-20,3
1111,2018-12-20,5
1111,2019-12-20,4
1112,2016-02-25,2
1112,2017-02-24,3
